code,GVA per hour worked,Export Intensity,New Businesses,Low Skilled,High Skilled,Active,Inactive due to Illness,Working Age,5G connectivity,Gigabit connectivity,GFCF per job,ICT per job,Intangibles per job
TLJ22,33.35,0.11419369006661298,0.09062103929024082,,0.39892398753894076,0.7752510903426791,0.2937713779586496,0.5778744302266132,0.6246868395089117,0.6922887137675228,8897.136045828576,244.5951210174983,1079.0015712178224
TLJ25,54.08,0.27650849443468073,0.09759928202827013,,0.5781955985191279,0.8173722747840394,,0.5980157978504886,0.5636131140986556,0.8217298541091647,9962.31169713672,599.7473942548074,1998.335250449547
TLJ26,53.46,0.37741262389149716,0.0958219800181653,,0.517285364859356,0.8751500203832042,,0.5901614102283417,0.5851590194292199,0.8181975192215949,14942.601069187147,449.70639957055715,7841.9959082810865
TLJ27,42.87,0.16512376075109972,0.09250317662007623,,0.5011598484848485,0.8076227272727273,,0.5582127044136863,0.5866491891642012,0.7523207136716139,7561.506562688629,314.84880480076754,780.3153868173508
TLJ28,37.94,0.402446409107424,0.09590461378952825,,0.48122222222222216,0.7978835978835979,,0.5741673755152784,0.5879612090957073,0.8126339578174722,12134.666149592129,638.7086480889468,4139.190326611417
TLJ31,41.59,0.21176199792841524,0.12378821774794929,0.096,0.486,0.821,0.23399999999999996,0.6847458594273813,0.9996,0.9610000000000001,15186.365256233059,303.6240949280014,2592.8600962519686
TLJ32,47.18,0.2680421824850986,0.11686046511627907,0.117,0.384,0.7840000000000001,0.2390000000000002,0.6774432860880091,0.9952000000000001,0.9410000000000001,7813.611331286205,618.0508694023915,1897.311907835902
TLJ34,35.46,0.2686804451510334,0.09071949947862357,0.115,0.372,0.76,0.387,0.5393666699785673,0.7683000000000001,0.8509999999999999,8801.669609092707,175.1636142353064,2980.1974918517303
TLJ35,44.43,0.22851992789905867,0.0971411901983664,,0.3822610254571531,0.8086916457511653,,0.6021521162764588,0.9608270913962489,0.9145970037140592,7754.873619033534,339.68768412291587,1004.6539177534253
TLJ36,42.15,0.24619359601365692,0.08524086094977792,,0.51978912,0.85334336,,0.5475357387527399,0.5244902254786139,0.6853608194423384,17480.570799032797,451.63760253306924,6050.7506988008845
TLJ37,64.49,0.3414982164090369,0.09571062740076824,,0.4694439272111723,0.8589894202285231,,0.5987614279053739,0.45052379627961453,0.8374363397669168,12173.720035730976,582.0841949990285,1933.0592508284137
TLJ41,39.16,,0.124,0.078,0.397,0.8,0.19299999999999998,0.6290097629009763,0.9225999999999999,0.8929999999999999,10147.29719405852,413.5957014126113,2066.954063758499
TLJ43,35.04,0.17840860215053764,0.11420059582919563,,0.41408246977547497,0.8457059585492228,,0.6026087024398367,0.8381234662294116,0.7955283997268917,9799.418841028111,415.90497263046717,1142.7011677521687
TLJ44,35.32,0.12652532551639512,0.11069816830368993,,0.43657391029690457,0.751567593177511,,0.5973990686159815,0.760825500590014,0.7309103197110586,8730.5746789712,362.35233426867904,1154.2618393133223
TLJ45,34.2,0.11176801801801801,0.10299003322259136,,0.4102601846822379,0.7408859315589353,0.317841789492882,0.5709058206964989,0.704744786586305,0.7528731459715837,17606.371152954758,331.7315790093447,7762.438739692167
TLJ46,46.24,,0.09437751004016064,,0.43858698599186624,0.8226769091730682,,0.5925223835839438,0.645811323238973,0.7766119718770242,7512.178382422334,238.65901315609602,1334.8945458326657
TLK30,32.74,0.11338468945594607,0.09394261424017003,0.101,0.376,0.7759999999999999,0.31699999999999984,0.5749690381412206,0.5336,0.5920000000000001,7422.9763882727275,358.4433714023924,910.2853067565669
TLK41,33.97,0.1885846981178196,0.11872791519434629,0.12600000000000003,0.33399999999999996,0.7490000000000001,0.3060000000000001,0.6132412479161705,0.9504999999999999,0.932,11202.248219420964,329.75327331057593,1477.005117295665
TLK42,27.68,0.09579439252336448,0.10650224215246637,0.081,0.35,0.757,0.357,0.5376922249704269,0.8516,0.87,8218.433923299923,168.85297046860737,2879.9119750088375
